champion,games,winrate,avg_gd15,avg_dpm,avg_csd15,avg_cspm,avg_damageshare,avg_kills,avg_deaths,avg_assists,kda,wr_short_games,wr_long_games,scaling_score,early_score,carry_score,utility_score
Seraphine,52,0.5384615384615384,96.59615384615384,272.0556826923077,-0.5192307692307693,1.0761307692307693,0.10086085384615386,1.0384615384615385,2.2884615384615383,10.25,4.932773109243698,0.5714285714285714,0.46153846153846156,-0.10989010989010983,96.59615384615384,0.10086085384615386,9.87037037037037
Nautilus,50,0.42,-166.18,197.26761400000004,1.26,1.117098,0.07046882,0.52,4.28,9.82,2.4158878504672896,0.42857142857142855,0.42857142857142855,0.0,-166.18,0.07046882,18.884615384615383
Corki,49,0.4489795918367347,-278.9183673469388,792.789787755102,-2.938775510204082,10.037959183673468,0.29112520408163267,4.938775510204081,2.877551020408163,4.836734693877551,3.397163120567376,0.3125,0.5263157894736842,0.21381578947368418,-278.9183673469388,0.29112520408163267,0.9793388429752067
Orianna,49,0.5510204081632653,150.08163265306123,692.1020306122449,4.183673469387755,9.469997959183672,0.24358069387755102,3.8979591836734695,2.4285714285714284,7.551020408163265,4.714285714285715,0.5294117647058824,0.4666666666666667,-0.06274509803921569,150.08163265306123,0.24358069387755102,1.9371727748691099
Nocturne,47,0.44680851063829785,-66.51063829787235,475.05642765957447,-1.3191489361702127,6.877621276595746,0.1648721021276596,3.3404255319148937,3.617021276595745,7.276595744680851,2.9352941176470586,0.3125,0.5,0.1875,-66.51063829787235,0.1648721021276596,2.178343949044586
Lucian,47,0.46808510638297873,39.829787234042556,862.1089021276596,-0.8723404255319149,9.75302978723404,0.3030322127659575,4.170212765957447,3.425531914893617,5.23404255319149,2.7453416149068324,0.4666666666666667,0.5,0.033333333333333326,39.829787234042556,0.3030322127659575,1.2551020408163265
Taliyah,46,0.41304347826086957,-91.6086956521739,636.0507543478261,-3.5,9.460823913043479,0.23585184782608695,2.847826086956522,2.6739130434782608,6.739130434782608,3.585365853658537,0.46153846153846156,0.5294117647058824,0.0678733031674208,-91.6086956521739,0.23585184782608695,2.3664122137404577
Karma,46,0.5869565217391305,273.04347826086956,324.6697391304348,-2.391304347826087,0.9890086956521735,0.10173874782608695,0.9347826086956522,2.239130434782609,12.804347826086957,6.135922330097087,0.8235294117647058,0.4117647058823529,-0.4117647058823529,273.04347826086956,0.10173874782608695,13.69767441860465
Annie,45,0.6,-207.35555555555555,711.7073644444445,-3.311111111111111,8.388646666666666,0.23579144444444441,2.911111111111111,3.2222222222222223,7.355555555555555,3.186206896551724,0.4666666666666667,0.6875,0.22083333333333333,-207.35555555555555,0.23579144444444441,2.5267175572519083
Wukong,45,0.4888888888888889,157.15555555555557,436.5839533333333,4.466666666666667,6.969417777777777,0.1523317244444444,3.688888888888889,3.1333333333333333,6.377777777777778,3.2127659574468086,0.3076923076923077,0.5454545454545454,0.2377622377622377,157.15555555555557,0.1523317244444444,1.7289156626506024
Anivia,41,0.43902439024390244,112.3170731707317,564.5237926829268,0.24390243902439024,7.288514634146341,0.20198209512195126,2.5365853658536586,2.975609756097561,5.975609756097561,2.860655737704918,0.5384615384615384,0.46153846153846156,-0.07692307692307687,112.3170731707317,0.20198209512195126,2.355769230769231
Rumble,39,0.5384615384615384,234.97435897435898,783.8615615384617,2.051282051282051,8.201441025641028,0.27321799999999996,3.0256410256410255,3.2564102564102564,6.641025641025641,2.9685039370078745,0.3333333333333333,0.5,0.16666666666666669,234.97435897435898,0.27321799999999996,2.1949152542372885
Caitlyn,38,0.5,116.65789473684211,753.8146473684212,5.7368421052631575,10.231668421052632,0.25980915789473685,4.078947368421052,3.1578947368421053,5.078947368421052,2.9,0.75,0.4117647058823529,-0.3382352941176471,116.65789473684211,0.25980915789473685,1.2451612903225806
Ahri,35,0.6285714285714286,370.54285714285714,708.0434171428572,5.257142857142857,9.507014285714286,0.24600687142857147,4.6,2.1714285714285713,7.0285714285714285,5.355263157894737,0.7142857142857143,0.4,-0.3142857142857143,370.54285714285714,0.24600687142857147,1.5279503105590062
Lee Sin,34,0.5588235294117647,-30.029411764705884,474.4923882352941,-3.9411764705882355,6.830667647058824,0.16565363529411767,4.647058823529412,3.264705882352941,7.794117647058823,3.810810810810811,0.2,0.7692307692307693,0.5692307692307692,-30.029411764705884,0.16565363529411767,1.6772151898734176
Sivir,34,0.5882352941176471,268.5882352941176,866.0161617647059,-0.4117647058823529,10.569017647058821,0.2832187352941176,4.235294117647059,2.2941176470588234,7.823529411764706,5.256410256410256,0.5384615384615384,0.6666666666666666,0.1282051282051282,268.5882352941176,0.2832187352941176,1.847222222222222
Varus,33,0.45454545454545453,3.484848484848485,864.8441727272727,1.7878787878787878,9.464269696969698,0.2895502121212121,4.909090909090909,3.4242424242424243,5.181818181818182,2.946902654867256,0.45454545454545453,0.46153846153846156,0.006993006993007034,3.484848484848485,0.2895502121212121,1.0555555555555556
Alistar,32,0.46875,-174.5625,144.90915,0.25,0.9606468749999999,0.053821040625,0.53125,3.5625,10.25,3.026315789473684,0.625,0.4166666666666667,-0.20833333333333331,-174.5625,0.053821040625,19.294117647058822
Nami,31,0.45161290322580644,-72.19354838709677,271.81687096774186,-0.7741935483870968,0.9057806451612903,0.09764062580645164,0.7419354838709677,3.096774193548387,10.193548387096774,3.53125,0.4,0.5454545454545454,0.1454545454545454,-72.19354838709677,0.09764062580645164,13.739130434782608
Milio,29,0.5172413793103449,-54.724137931034484,159.54799655172417,-2.3793103448275863,0.871593103448276,0.05645517931034482,0.4482758620689655,2.310344827586207,10.551724137931034,4.7611940298507465,0.5,0.6666666666666666,0.16666666666666663,-54.724137931034484,0.05645517931034482,23.538461538461537
Rakan,29,0.5862068965517241,72.6896551724138,170.35403103448277,3.4482758620689653,1.1526827586206898,0.06256482068965517,0.6551724137931034,3.1724137931034484,11.448275862068966,3.8152173913043477,0.4166666666666667,0.5,0.08333333333333331,72.6896551724138,0.06256482068965517,17.47368421052632
Cassiopeia,29,0.5517241379310345,123.41379310344827,656.5798758620691,5.482758620689655,8.910441379310345,0.2290971689655172,3.5172413793103448,3.1724137931034484,5.448275862068965,2.826086956521739,0.375,0.7777777777777778,0.4027777777777778,123.41379310344827,0.2290971689655172,1.5490196078431373
Zaahen,29,0.6551724137931034,45.241379310344826,712.8355103448276,-5.241379310344827,8.690258620689656,0.2346924137931034,2.7586206896551726,2.2413793103448274,5.689655172413793,3.769230769230769,0.625,0.5,-0.125,45.241379310344826,0.2346924137931034,2.0624999999999996
Akali,28,0.39285714285714285,48.464285714285715,641.4635535714285,-0.8571428571428571,8.7937,0.22716982142857142,4.678571428571429,3.142857142857143,4.285714285714286,2.8522727272727275,0.5454545454545454,0.2857142857142857,-0.2597402597402597,48.464285714285715,0.22716982142857142,0.916030534351145
Yorick,27,0.5185185185185185,-326.74074074074076,618.9334592592592,-5.703703703703703,9.028066666666668,0.23410644444444445,2.5925925925925926,2.6666666666666665,4.333333333333333,2.5972222222222223,0.45454545454545453,0.5714285714285714,0.11688311688311687,-326.74074074074076,0.23410644444444445,1.6714285714285713
Gwen,25,0.64,-20.72,752.548472,-0.76,9.031084,0.26796072,4.08,2.72,4.68,3.2205882352941173,0.625,0.6666666666666666,0.04166666666666663,-20.72,0.26796072,1.1470588235294117
Aphelios,23,0.5652173913043478,294.17391304347825,764.8060347826088,2.4347826086956523,10.178221739130436,0.2612486956521739,5.130434782608695,3.9130434782608696,4.739130434782608,2.522222222222222,0.6,0.5454545454545454,-0.054545454545454564,294.17391304347825,0.2612486956521739,0.923728813559322
Twisted Fate,21,0.5714285714285714,358.76190476190476,578.9667714285713,-10.238095238095237,8.716333333333335,0.19548657142857143,2.5714285714285716,2.6666666666666665,6.380952380952381,3.357142857142857,0.6666666666666666,0.2857142857142857,-0.38095238095238093,358.76190476190476,0.19548657142857143,2.4814814814814814
Trundle,21,0.7142857142857143,14.285714285714286,396.11250000000007,-0.3333333333333333,6.563838095238096,0.13384017142857144,2.619047619047619,2.619047619047619,9.523809523809524,4.636363636363636,0.8888888888888888,0.8571428571428571,-0.031746031746031744,14.285714285714286,0.13384017142857144,3.6363636363636362
Miss Fortune,21,0.5238095238095238,-4.857142857142857,827.8302904761906,-2.1904761904761907,10.389319047619049,0.2797043809523809,5.428571428571429,2.857142857142857,5.714285714285714,3.9,0.75,0.25,-0.5,-4.857142857142857,0.2797043809523809,1.0526315789473684
Kalista,19,0.42105263157894735,-106.52631578947368,709.9827315789474,2.0,9.41496842105263,0.2381812631578947,4.2631578947368425,4.052631578947368,5.2631578947368425,2.350649350649351,0.0,0.8571428571428571,0.8571428571428571,-106.52631578947368,0.2381812631578947,1.2345679012345678
Viktor,19,0.2631578947368421,-130.68421052631578,846.594252631579,2.9473684210526314,9.163384210526317,0.278911,3.0,2.6315789473684212,5.157894736842105,3.1,0.25,0.2857142857142857,0.0357142857142857,-130.68421052631578,0.278911,1.719298245614035
Ziggs,19,0.5263157894736842,-9.0,919.3986315789472,0.631578947368421,9.55847894736842,0.3126092105263158,3.526315789473684,2.4210526315789473,7.0,4.347826086956522,0.6666666666666666,0.2857142857142857,-0.38095238095238093,-9.0,0.3126092105263158,1.9850746268656718
Galio,18,0.5555555555555556,-377.8333333333333,548.3640722222221,-11.0,8.79931111111111,0.19380738888888888,2.7222222222222223,3.111111111111111,7.0,3.1249999999999996,0.25,0.5,0.25,-377.8333333333333,0.19380738888888888,2.571428571428571
Renata Glasc,18,0.3888888888888889,-112.11111111111111,201.98580000000004,-0.8333333333333334,1.0557999999999998,0.07002295,0.5,2.9444444444444446,9.722222222222221,3.471698113207547,0.0,0.8333333333333334,0.8333333333333334,-112.11111111111111,0.07002295,19.444444444444443
Rell,18,0.4444444444444444,-84.11111111111111,174.61497222222224,2.5555555555555554,1.0576666666666668,0.06164357222222223,0.7222222222222222,4.833333333333333,11.444444444444445,2.5172413793103448,0.4,0.4444444444444444,0.0444444444444444,-84.11111111111111,0.06164357222222223,15.846153846153847
Naafiri,18,0.5555555555555556,-45.22222222222222,580.7415444444445,1.2777777777777777,7.0681611111111105,0.20107272222222222,4.722222222222222,2.5555555555555554,5.888888888888889,4.1521739130434785,0.5,0.625,0.125,-45.22222222222222,0.20107272222222222,1.2470588235294118
Rek'Sai,17,0.5294117647058824,-13.764705882352942,662.0048823529411,1.0,9.152717647058823,0.24641105882352943,2.8823529411764706,2.411764705882353,4.470588235294118,3.0487804878048785,,0.6666666666666666,0.0,-13.764705882352942,0.24641105882352943,1.5510204081632653
Leona,17,0.4117647058823529,-81.88235294117646,157.5794705882353,2.588235294117647,1.1938411764705883,0.05930949411764705,0.47058823529411764,4.470588235294118,7.764705882352941,1.8421052631578945,0.3333333333333333,0.75,0.4166666666666667,-81.88235294117646,0.05930949411764705,16.5
Sylas,17,0.5294117647058824,-128.8235294117647,677.5994529411764,-7.0588235294117645,8.597800000000001,0.23357882352941176,4.705882352941177,2.7058823529411766,5.882352941176471,3.91304347826087,0.5555555555555556,0.6,0.0444444444444444,-128.8235294117647,0.23357882352941176,1.25
Yone,17,0.5294117647058824,-178.11764705882354,610.5033294117646,-3.5294117647058822,9.869852941176472,0.21287770588235297,3.411764705882353,2.9411764705882355,5.0588235294117645,2.88,0.25,0.42857142857142855,0.17857142857142855,-178.11764705882354,0.21287770588235297,1.4827586206896552
Mel,17,0.47058823529411764,621.0588235294117,688.1740352941175,11.941176470588236,9.903535294117646,0.2585698235294118,5.705882352941177,2.2941176470588234,3.823529411764706,4.153846153846154,0.5,0.25,-0.25,621.0588235294117,0.2585698235294118,0.6701030927835052
Poppy,16,0.375,-127.8125,265.87241875,-1.25,3.32541875,0.0973870875,1.625,3.25,7.5625,2.826923076923077,0.5,0.3333333333333333,-0.16666666666666669,-127.8125,0.0973870875,4.653846153846154
Aatrox,16,0.3125,-196.0625,522.364825,-4.125,7.58063125,0.1947724375,2.375,3.5625,4.9375,2.0526315789473686,0.2,0.4,0.2,-196.0625,0.1947724375,2.0789473684210527
Kennen,16,0.5,361.6875,743.77478125,11.9375,8.66389375,0.26742793750000005,2.8125,3.375,3.8125,1.962962962962963,0.5,,0.0,361.6875,0.26742793750000005,1.3555555555555556
Jax,14,0.5714285714285714,-147.57142857142858,691.1382285714284,-9.071428571428571,8.23012857142857,0.21910664285714287,3.4285714285714284,2.9285714285714284,4.928571428571429,2.853658536585366,0.5,0.75,0.25,-147.57142857142858,0.21910664285714287,1.4375000000000002
Kai'Sa,14,0.6428571428571429,-8.642857142857142,752.1448142857142,-6.0,9.7813,0.2676853571428571,6.5,3.0,5.285714285714286,3.9285714285714284,1.0,0.5,-0.5,-8.642857142857142,0.2676853571428571,0.8131868131868132
Braum,13,0.3076923076923077,21.46153846153846,233.58584615384618,1.3846153846153846,1.0882461538461539,0.08761803846153847,0.38461538461538464,3.769230769230769,8.923076923076923,2.469387755102041,0.4,0.14285714285714285,-0.2571428571428572,21.46153846153846,0.08761803846153847,23.2
Syndra,12,0.4166666666666667,-72.58333333333333,660.7925666666665,0.5,9.063558333333333,0.24007899999999996,3.5,3.0833333333333335,5.083333333333333,2.7837837837837833,0.0,0.6,0.6,-72.58333333333333,0.24007899999999996,1.4523809523809523
Thresh,12,0.5833333333333334,176.25,179.10248333333334,3.5,1.05995,0.06342875,1.0,3.4166666666666665,13.333333333333334,4.195121951219512,,0.5,0.0,176.25,0.06342875,13.333333333333334
Skarner,12,0.5833333333333334,14.916666666666666,404.17749166666664,-2.1666666666666665,6.012991666666667,0.14356270833333332,3.0,2.6666666666666665,7.25,3.84375,1.0,0.3333333333333333,-0.6666666666666667,14.916666666666666,0.14356270833333332,2.4166666666666665
Xayah,11,0.7272727272727273,248.1818181818182,730.2155818181818,3.272727272727273,10.4169,0.26672981818181823,4.454545454545454,3.272727272727273,7.454545454545454,3.6388888888888884,0.6666666666666666,,0.0,248.1818181818182,0.26672981818181823,1.6734693877551021
Dr. Mundo,11,0.5454545454545454,-95.81818181818181,726.6854000000001,9.090909090909092,6.622727272727272,0.22476236363636362,2.727272727272727,2.3636363636363638,6.181818181818182,3.7692307692307687,0.6666666666666666,0.6,-0.06666666666666665,-95.81818181818181,0.22476236363636362,2.2666666666666666
Vayne,11,0.7272727272727273,114.36363636363636,643.3735272727273,11.909090909090908,8.539118181818184,0.24496645454545457,4.090909090909091,2.272727272727273,4.545454545454546,3.8,,0.75,0.0,114.36363636363636,0.24496645454545457,1.1111111111111112
Zoe,10,0.7,421.0,714.96925,9.0,8.40322,0.24399099999999999,4.1,3.0,6.7,3.6,0.6666666666666666,0.6666666666666666,0.0,421.0,0.24399099999999999,1.6341463414634148
Elise,8,0.5,318.0,408.4281375,1.875,1.2337125,0.12990965,2.5,4.25,8.5,2.588235294117647,,0.6666666666666666,0.0,318.0,0.12990965,3.4
Pyke,8,0.5,122.875,260.82860000000005,-4.625,1.0188875,0.09563,2.5,3.625,8.0,2.896551724137931,0.75,,0.0,122.875,0.09563,3.2
Ornn,7,0.42857142857142855,-718.8571428571429,424.0016,-8.285714285714286,7.251971428571428,0.1621438857142857,0.7142857142857143,3.142857142857143,7.0,2.4545454545454546,,,0.0,-718.8571428571429,0.1621438857142857,9.799999999999999
Sejuani,7,0.14285714285714285,-210.42857142857142,408.36348571428573,-8.0,6.097371428571429,0.1477497142857143,2.4285714285714284,2.857142857142857,6.428571428571429,3.1,,0.0,0.0,-210.42857142857142,0.1477497142857143,2.647058823529412
Lux,7,0.7142857142857143,262.7142857142857,403.14758571428575,-2.4285714285714284,1.2946857142857142,0.1298632857142857,1.2857142857142858,2.142857142857143,12.0,6.2,,0.6,0.0,262.7142857142857,0.1298632857142857,9.333333333333332
Olaf,6,0.8333333333333334,-734.3333333333334,464.55359999999996,-18.166666666666668,8.629016666666667,0.18095066666666668,3.5,2.1666666666666665,2.8333333333333335,2.9230769230769234,,1.0,0.0,-734.3333333333334,0.18095066666666668,0.8095238095238095
Yuumi,6,0.6666666666666666,-64.16666666666667,303.41993333333335,-1.6666666666666667,0.6087,0.09318418333333334,0.3333333333333333,1.8333333333333333,13.333333333333334,7.454545454545456,,,0.0,-64.16666666666667,0.09318418333333334,40.00000000000001
LeBlanc,6,0.3333333333333333,1101.1666666666667,858.0499999999998,18.666666666666668,8.414016666666667,0.28676999999999997,4.666666666666667,2.8333333333333335,3.6666666666666665,2.9411764705882355,,,0.0,1101.1666666666667,0.28676999999999997,0.7857142857142856
Malphite,6,0.16666666666666666,-390.0,373.47453333333334,-5.333333333333333,5.840483333333334,0.1454715,1.8333333333333333,4.833333333333333,6.333333333333333,1.6896551724137931,0.0,,0.0,-390.0,0.1454715,3.4545454545454546
Hwei,5,0.6,-497.4,722.56134,-3.8,8.128559999999998,0.2317266,3.8,3.6,10.4,3.944444444444444,,0.6666666666666666,0.0,-497.4,0.2317266,2.736842105263158
Zeri,4,0.5,-355.75,798.001175,-13.0,10.34495,0.278646,4.75,4.25,5.5,2.411764705882353,,,0.0,-355.75,0.278646,1.1578947368421053
Tristana,4,0.25,-70.5,523.9429,-2.25,9.47845,0.21524625,1.5,2.75,3.5,1.8181818181818181,,,0.0,-70.5,0.21524625,2.3333333333333335
Jinx,4,0.5,432.5,934.634775,9.0,9.714575,0.346813,7.5,3.5,5.0,3.5714285714285716,,,0.0,432.5,0.346813,0.6666666666666666
