gameid,date,team_blue,team_red,result,result_diff,golddiffat15_diff,xpdiffat15_diff,csdiffat15_diff,kills_diff,assists_diff,firstblood_diff,firsttower_diff,firstmidtower_diff,firsttothreetowers_diff,firstdragon_diff,firstherald_diff,firstbaron_diff,dragons_diff,elementaldrakes_diff,elders_diff,wpm_diff,wcpm_diff,vspm_diff,form_wr_diff,side_wr_diff,h2h_diff
LOLTMNT01_361313,2026-04-10 10:57:44,Hanwha Life Esports,BNK FEARX,0,0.002506265664160401,602.9260651629073,137.12907268170426,20.171679197994987,0.3320802005012524,2.719298245614034,0.16666666666666663,-0.19799498746867172,0.045112781954887216,0.023809523809523836,-0.12406015037593993,-0.0025062656641603454,0.15037593984962405,0.1378446115288221,0.11654135338345872,0.021303258145363407,-0.09274824561403516,0.2266280701754384,0.8778927318295757,0.6,0.07142857142857145,0.5
LOLTMNT01_361350,2026-04-10 11:46:50,BNK FEARX,Hanwha Life Esports,0,0.03263403263403264,-741.2692307692307,-184.9207459207459,-19.02913752913753,0.11072261072261114,-1.427738927738929,-0.1946386946386946,0.15501165501165498,-0.006993006993006978,0.012820512820512775,0.15501165501165498,-0.03263403263403264,-0.10955710955710951,-0.05944055944055915,-0.03962703962703973,-0.019813519813519816,0.09458449883449882,-0.20904160839160846,-0.8245289044289059,-0.39999999999999997,0.0678733031674208,0.0
LOLTMNT01_362622,2026-04-11 08:06:17,Kiwoom DRX,Nongshim RedForce,1,-0.01944444444444443,-875.6592592592592,-656.2648148148148,-29.305555555555557,-0.39259259259259416,-0.3916666666666657,-0.21666666666666662,-0.18055555555555558,-0.01851851851851849,-0.05555555555555558,-0.17962962962962964,-0.10462962962962963,-0.032407407407407385,-0.05833333333333357,-0.009259259259259078,-0.04907407407407407,-0.09309370370370385,-0.21642925925925915,-0.2551939814814812,-0.19999999999999996,-0.047058823529411764,0.33333333333333337
LOLTMNT01_362650,2026-04-11 08:59:12,Kiwoom DRX,Nongshim RedForce,1,0.010452961672473893,-1030.9224738675957,-682.0165505226481,-29.057491289198605,-0.01393728222996593,0.2491289198606239,-0.23954703832752616,-0.20557491289198604,-0.04790940766550522,-0.08362369337979092,-0.20383275261324046,-0.07055749128919853,-0.0026132404181184454,-0.02874564459930351,0.018292682926829062,-0.0470383275261324,-0.07429895470383219,-0.20886123693379788,-0.22269930313589015,0.19999999999999996,0.013888888888888895,0.3571428571428571
LOLTMNT01_361912,2026-04-11 10:14:53,Dplus Kia,Gen.G,1,-0.37426408746846085,-1133.88393608074,-274.444070647603,1.8006728343145486,-4.479394449116905,-12.497056349873844,-0.03952901597981495,-0.22624053826745166,-0.2220353238015138,-0.2607232968881413,-0.3481917577796468,-0.04962153069806552,-0.36837678721614797,-1.3027754415475188,-1.2926829268292683,-0.01009251471825063,-0.2884721614802359,-0.2632389402859545,-1.0635080740117786,-0.4,-0.1071428571428572,-0.33333333333333337
LOLTMNT01_361920,2026-04-11 11:07:33,Gen.G,Dplus Kia,0,0.33333333333333337,1083.5142857142857,235.8380952380952,-3.385714285714286,4.080952380952381,11.442857142857143,0.06666666666666665,0.19047619047619047,0.1857142857142856,0.2238095238095238,0.36666666666666664,0.01904761904761898,0.3285714285714285,1.319047619047619,1.3095238095238095,0.009523809523809525,0.2769471428571433,0.26215047619047627,1.0528876190476222,0.20000000000000007,0.6783216783216783,0.2142857142857143
LOLTMNT01_364097,2026-04-12 08:05:05,BNK FEARX,DN SOOPers,1,0.039102564102564075,72.19999999999999,67.75961538461539,-3.671153846153846,0.4653846153846146,0.7673076923076962,0.11538461538461536,0.08782051282051279,0.19102564102564107,0.16666666666666669,0.011538461538461608,0.08910256410256412,0.06602564102564101,-0.3339743589743591,-0.2564102564102564,-0.07756410256410257,0.15539923076923,-0.06042365384615356,-0.2787031410256393,0.0,0.026315789473684237,0.16666666666666663
LOLTMNT01_363354,2026-04-12 08:56:52,BNK FEARX,DN SOOPers,1,0.06280487804878049,259.31768292682926,247.77195121951218,-1.7073170731707314,0.7493902439024378,1.7310975609756127,0.13719512195121952,0.11036585365853657,0.21097560975609764,0.1871951219512195,0.03597560975609759,0.11158536585365858,0.039634146341463394,-0.25182926829268304,-0.176219512195122,-0.07560975609756099,0.13505695121951256,-0.0485177439024389,-0.2651084756097575,0.4,0.07631578947368417,0.19999999999999996
LOLTMNT01_364137,2026-04-12 10:09:24,KT Rolster,HANJIN BRION,1,0.15384615384615385,307.84615384615387,-118.75320512820511,2.301282051282051,0.18910256410256387,1.3717948717948758,0.0,-0.08653846153846156,0.3173076923076923,0.15384615384615385,-0.16346153846153844,0.1891025641025641,0.11858974358974356,-0.06730769230769251,-0.07051282051282026,0.0032051282051282007,-0.28450192307692346,0.02024871794871763,-0.23376185897435775,0.20000000000000007,0.29999999999999993,0.16666666666666663
LOLTMNT01_364149,2026-04-12 10:55:22,KT Rolster,HANJIN BRION,1,0.1866666666666667,648.911111111111,199.63407407407408,6.303703703703703,0.8207407407407405,2.9437037037037044,0.03851851851851856,-0.0444444444444444,0.34370370370370373,0.1866666666666667,-0.11851851851851847,0.22074074074074074,0.15259259259259267,0.04888888888888898,0.04592592592592615,0.002962962962962966,-0.2541160000000007,0.02431777777777766,-0.12234207407407283,0.4,0.3522727272727273,0.25
