gameid,date,game,teamname,side,result,gamelength,ckpm,golddiffat15,xpdiffat15,csdiffat15,firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,kills,deaths,assists,wpm,wcpm,vspm,dragons,elementaldrakes,elders
LOLTMNT03_336695,2026-01-17 11:10:45,1,KT Rolster,Blue,0,1872,0.9295,-3163.0,-1832.0,-30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,22,17,3.5577,1.2821,9.1987,0.0,0.0,0.0
LOLTMNT03_336695,2026-01-17 11:10:45,1,Gen.G,Red,1,1872,0.9295,3163.0,1832.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,22,7,58,3.6538,1.7308,10.5769,5.0,4.0,1.0
LOLTMNT03_337782,2026-01-17 12:05:01,2,Gen.G,Blue,1,1682,1.2485,2891.0,2467.0,-2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27,9,70,4.0666,1.6409,10.1665,4.0,4.0,0.0
LOLTMNT03_337782,2026-01-17 12:05:01,2,KT Rolster,Red,0,1682,1.2485,-2891.0,-2467.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,27,10,3.3532,1.2842,8.8109,0.0,0.0,0.0
LOLTMNT03_336834,2026-01-18 08:05:24,1,Hanwha Life Esports,Blue,0,1856,1.1638,2655.0,2862.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,17,43,3.4591,1.7457,10.4095,3.0,3.0,0.0
LOLTMNT03_336834,2026-01-18 08:05:24,1,Nongshim RedForce,Red,1,1856,1.1638,-2655.0,-2862.0,-37.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,17,19,39,3.2328,1.6164,8.6638,2.0,2.0,0.0
LOLTMNT03_336842,2026-01-18 08:58:36,2,Nongshim RedForce,Blue,1,2071,1.1009,1067.0,770.0,-14.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,24,14,65,3.9981,2.3177,11.9073,3.0,3.0,0.0
LOLTMNT03_336842,2026-01-18 08:58:36,2,Hanwha Life Esports,Red,0,2071,1.1009,-1067.0,-770.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14,24,26,3.9112,1.4196,9.7344,2.0,2.0,0.0
LOLTMNT03_337890,2026-01-18 10:20:18,1,T1,Blue,1,1766,1.4609,4244.0,2706.0,33.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,26,18,42,3.7373,1.2911,9.2752,2.0,2.0,0.0
LOLTMNT03_337890,2026-01-18 10:20:18,1,Kiwoom DRX,Red,0,1766,1.4609,-4244.0,-2706.0,-33.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,17,26,40,3.6693,1.2231,9.6829,2.0,2.0,0.0
